No.,지역,매장명,주소,우편번호,전화,영업시간,24시간,배달,픽업,드라이브스루,주차,WiFi,매장코드,상태,Latitude,Longitude
1,서울,가산디지털단지,"서울 금천구 벚꽃로 36길 30 1층 120, 121호",08511,02-2025-1024,08:00~22:00,N,Y,Y,N,N,N,13174,OPEN,37.4806895,126.885078
2,서울,가산IT,서울 금천구 가산동 345-30 1층 101호,08589,02-855-6750,09:00~22:00,N,Y,Y,N,N,N,13287,OPEN,37.4754603,126.881751
3,서울,가좌역,서울 서대문구 남가좌동 269-1 103호,03712,02-303-9777,09:00~24:00,N,Y,Y,N,N,N,13144,OPEN,37.5708138,126.913701
4,서울,강남역SELECT,서울 서초구 서초대로78길 28 1층,06621,02-3472-4997,10:00~22:00,N,Y,Y,N,N,Y,13331,OPEN,37.4952769,127.027855
5,서울,강남일원,서울 강남구 양재대로55길 21,06342,02-451-2211,10:00~24:00,N,Y,Y,N,N,Y,12864,OPEN,37.492277,127.08721
6,서울,강동구청D/T,서울 강동구 성내동 319-1,134030,02-483-1241,10:00~22:00,N,Y,Y,N,Y,Y,12410,OPEN,37.530961,127.121134
7,서울,강변씨네마,서울 광진구 광나루로 56길 85,143721,02-3424-1274,10:00~20:30,N,Y,Y,N,Y,N,11128,OPEN,37.535675,127.095853
8,서울,강서구청,서울 강서구 화곡로 330 1층 102호,07653,02-3663-4301,24시간,Y,Y,Y,N,Y,N,13093,OPEN,37.5532536,126.851184
9,서울,강일,서울 강동구 아리수로93길 33-9,134100,02-427-0707,10:00~22:30,N,Y,Y,N,Y,Y,12108,OPEN,37.565688,127.17318
10,서울,개봉,서울 구로구 고척동 구로구 고척동 52-197,152080,02-2685-2226,09:00~23:00,N,Y,Y,N,Y,Y,12395,OPEN,37.500602,126.866598
11,서울,개봉역,서울 구로 경인로 40길 47 1F,152090,02-2615-7275,09:00~23:00,N,Y,Y,N,N,N,11155,OPEN,37.494435,126.85912
12,서울,건대스타시티,서울 광진구 아차산로272,143730,02-2024-1466,09:00~22:00,N,Y,Y,N,Y,Y,11033,OPEN,37.537811,127.072553
13,서울,건대입구역,서울 광진구 화양동 48-17 1층,05019,02-6014-4550,24시간,Y,Y,Y,N,N,N,13185,OPEN,37.5412123,127.06744
14,서울,고덕역,서울 강동구 동남로73길 26 02호,134825,02-426-9900,09:00~22:30,N,Y,Y,N,Y,Y,11197,OPEN,37.5532318,127.154501
15,서울,공릉역,서울 노원구 동일로 192길 27,139801,02-977-2430,10:00~22:00,N,Y,Y,N,N,N,11964,OPEN,37.6263991104947,127.07435278165
16,서울,구로디지털역,서울 관악구 시흥대로 578,08700,02-857-7698,24시간,Y,Y,Y,N,Y,Y,11007,OPEN,37.484217,126.903301
17,서울,구로시장,서울 구로구 도림로 73,08312,02-3281-1154,24시간,Y,Y,Y,N,N,Y,11010,OPEN,37.490021,126.891605
18,서울,구로IT,서울 구로구 구로동 디지털로31길 20,152766,02-2109-6750,08:00~01:30,N,Y,Y,N,Y,Y,12203,OPEN,37.485469,126.894338
19,서울,구산역,서울 은평구 연서로 130,03398,02-387-6094,07:00~24:00,N,Y,Y,N,Y,Y,12975,OPEN,37.6102615,126.917154
20,서울,구의역,서울 광진구 아차산로 370,143851,02-453-1353,24시간,Y,Y,Y,N,N,N,12366,OPEN,37.536415,127.084042
21,서울,구파발역,서울 은평구 진관2로 15-40,122200,02-384-4500,09:00~24:00,N,Y,Y,N,Y,Y,12087,OPEN,37.638082,126.919141
22,서울,금호,서울 성동구 장터길 23,04724,02-2296-2872,10:00~23:00,N,Y,Y,N,Y,Y,11127,OPEN,37.548497,127.018274
23,서울,길동,서울 강동구 천호대로 1124,05373,02-475-6084,24시간,Y,Y,Y,N,N,Y,11005,OPEN,37.534308,127.136176
24,서울,길음뉴타운점,서울 성북구 길음로7길 6,136110,02-911-7979,08:00~24:00,N,Y,Y,N,Y,Y,12020,OPEN,37.604332,127.022456
25,서울,김포국제공항국내선청사4층,서울 강서구 하늘길 112,07505,02-2666-9439,05:00~20:30,N,N,Y,N,Y,Y,12854,OPEN,37.5566873,126.808431
